"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.psi12[15, 2]",0.615,0.188,0.205,0.916,1.03,1104,0.654
"mean.psi12[16, 2]",0.421,0.209,0,0.728,1.02,752,0.443
"mean.psi12[17, 2]",0.505,0.212,0.067,0.873,1.03,680,0.534
"mean.psi12[18, 2]",0.625,0.181,0.241,0.921,1.04,954,0.664
"mean.psi12[19, 2]",0.704,0.163,0.377,0.967,1.02,961,0.733
"mean.psi12[20, 2]",0.345,0.223,0,0.711,1,573,0.343
"mean.psi12[21, 2]",0.464,0.191,0.068,0.787,1.01,837,0.487
"mean.psi12[22, 2]",0.312,0.235,0,0.731,1.01,790,0.285
"mean.psi12[1, 3]",0.869,0.121,0.631,0.996,1.01,777,0.905
"mean.psi12[2, 3]",0.77,0.171,0.417,0.992,1,812,0.815
"mean.psi12[3, 3]",0.818,0.159,0.483,0.995,1,485,0.867
"mean.psi12[4, 3]",0.835,0.147,0.53,0.997,1,556,0.88
"mean.psi12[5, 3]",0.794,0.149,0.494,0.99,1,763,0.832
"mean.psi12[6, 3]",0.807,0.144,0.52,0.996,1,655,0.843
"mean.psi12[7, 3]",0.892,0.115,0.664,0.999,1.01,444,0.931
"mean.psi12[8, 3]",0.904,0.127,0.645,0.999,1.01,475,0.949
"mean.psi12[9, 3]",0.751,0.169,0.406,0.983,1,795,0.792
"mean.psi12[10, 3]",0.885,0.107,0.679,0.999,1.01,723,0.918
"mean.psi12[11, 3]",0.885,0.123,0.633,0.998,1,625,0.925
"mean.psi12[12, 3]",0.884,0.13,0.625,0.998,1.01,510,0.928
"mean.psi12[13, 3]",0.501,0.292,0,0.903,1.01,842,0.552
"mean.psi12[14, 3]",0.842,0.145,0.545,0.997,1.01,635,0.888
"mean.psi12[15, 3]",0.838,0.136,0.573,0.994,1.01,861,0.877
"mean.psi12[16, 3]",0.724,0.199,0.298,0.983,1.01,820,0.782
"mean.psi12[17, 3]",0.723,0.204,0.283,0.991,1.02,728,0.778
"mean.psi12[18, 3]",0.852,0.127,0.611,0.996,1.02,937,0.887
"mean.psi12[19, 3]",0.863,0.115,0.641,0.995,1.01,658,0.894
"mean.psi12[20, 3]",0.749,0.182,0.367,0.992,1,635,0.796
"mean.psi12[21, 3]",0.786,0.163,0.45,0.994,1,621,0.83
"mean.psi12[22, 3]",0.679,0.221,0.2,0.989,1,745,0.734
"mean.psi12.t[1]",0.805,0.098,0.605,0.952,1.03,730,0.827
"mean.psi12.t[2]",0.624,0.116,0.392,0.835,1.01,747,0.634
"mean.psi12.t[3]",0.708,0.122,0.464,0.906,1,529,0.729
"mean.psi12.t[4]",0.695,0.127,0.448,0.919,1.01,512,0.713
"mean.psi12.t[5]",0.652,0.122,0.418,0.883,1.03,738,0.661
"mean.psi12.t[6]",0.759,0.097,0.563,0.926,1.02,634,0.774
"mean.psi12.t[7]",0.812,0.103,0.596,0.961,1.01,546,0.835
"mean.psi12.t[8]",0.772,0.128,0.524,0.96,1.01,501,0.801
"mean.psi12.t[9]",0.613,0.118,0.375,0.824,1.02,741,0.623
"mean.psi12.t[10]",0.788,0.096,0.588,0.939,1.03,641,0.808
"mean.psi12.t[11]",0.819,0.1,0.61,0.963,1.01,541,0.843
"mean.psi12.t[12]",0.77,0.114,0.551,0.956,1.01,452,0.788
"mean.psi12.t[13]",0.34,0.185,0,0.629,1,793,0.348
"mean.psi12.t[14]",0.74,0.103,0.53,0.904,1.02,615,0.759
"mean.psi12.t[15]",0.76,0.104,0.551,0.926,1.05,855,0.781
"mean.psi12.t[16]",0.63,0.149,0.322,0.87,1.03,598,0.659
"mean.psi12.t[17]",0.648,0.148,0.331,0.883,1.04,614,0.673
"mean.psi12.t[18]",0.749,0.114,0.516,0.923,1.06,743,0.773
"mean.psi12.t[19]",0.801,0.087,0.631,0.948,1.03,729,0.816
"mean.psi12.t[20]",0.565,0.144,0.28,0.827,1,640,0.577
"mean.psi12.t[21]",0.649,0.116,0.415,0.846,1,635,0.665
"mean.psi12.t[22]",0.557,0.145,0.251,0.814,1,801,0.567
"mean.psi21[1, 1]",0.133,0.14,0,0.416,1,985,0.088
"mean.psi21[2, 1]",0.14,0.108,0,0.349,1.01,1597,0.119
"mean.psi21[3, 1]",0.072,0.079,0,0.234,1,1349,0.046
"mean.psi21[4, 1]",0.079,0.083,0,0.241,1,1557,0.054
"mean.psi21[5, 1]",0.294,0.171,0,0.587,1.02,843,0.29
"mean.psi21[6, 1]",0.136,0.105,0,0.333,1.01,1172,0.12
"mean.psi21[7, 1]",0.07,0.087,0,0.239,1.01,1236,0.041
"mean.psi21[8, 1]",0.042,0.071,0,0.176,1,1167,0.013
"mean.psi21[9, 1]",0.234,0.153,0,0.51,1.02,1043,0.219
"mean.psi21[10, 1]",0.22,0.151,0,0.503,1.01,1149,0.198
